NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210060366194;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;404.9;454.9;414.4;367.9;AABCEAADEDEBDAEBEEABBECDCCAADCCBADEECBDCBDADB;ABEDCEABEAECAEBCADECEADCDABAEDABEDCEBADCAEBDC;DBBADCACECCECEABDBECBDADABACEACDEAEBCACDBEEBC;CEEAEAEDACDCEDBECEAEDBBBEDBDEBDDECAABACADAEEB;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;100;80;60;100;0;340;C;E;C;B;8;B;A;B;C;A;A;B;A;B;A;A;A;A;A;A;A;B;A;A;B
210059080368;2023;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;445.2;544.3;589.5;501.2;CAEDBCBCCEEBBCADCEDABACBDACDBBCDBEDEADEBBDEBD;ABCCCBDDCDCECCABCEBBDCEEADABBDCABCDABBDCBAEDE;BEBBAAAECBBEAACABBEDDCBBABCCADEDABCEBAEDDBDCC;EDDCCEAADCBAECACDBBBDCBCDACBDEABDCEACDCBADBAC;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;100;80;100;60;460;E;E;A;A;3;B;A;B;C;B;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B
210060708964;2023;3;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;1;2;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;524.8;539.9;529.5;617.1;DBDEBDCCDEDCEDBCECACEADDCDDDBEDDDDECDCCDCDDAD;ACCAAAAAACAAADEA.EAABCAAAAACCCAEAAAADEADCCDAE;DBBDCADADACDEAAAEADCAEDCEDADCBECABDBCEAAADAAC;DCACEDDADDDDDDABDDCDADDDDDDDDACAADABECEAAACAA;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;160;200;160;160;160;840;C;E;A;A;4;B;A;B;C;A;A;B;C;B;B;A;A;A;B;A;B;E;A;B;B
210059787938;2023;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;401.7;421;504.3;421.5;EECDDCBEBDCBBDBACADEBDACDBECDECBBBDCAEBADBCED;CECACBDEBBBEDDBEBADBCECABAEEDCAEADBBCDEADCAAB;BAEBDDECEDBBCCABECDCDDEEBBEAEACACBAEEACEEEAAE;DBEBDEBAEACDEADDDBECADDBCACDADBDCBDCDCDAEEDEC;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;140;120;120;120;160;660;D;A;B;B;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210059011158;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1224;1192;1202;1214;406.6;523.2;521.7;671;BDBACCBECEBCEBDDEABACCEADBBABDCDEEECAEADBEECD;DBBCBEECCDCABDBBDBBDAABADDBAEACCACDEECADEAEDD;BCBCBABEAEDEAACDACBCEABCDEAEDBBDABCDCDBDDDCAB;EABDEDDEBEABAECADCBCEBBCECEBCCBCDDDBAABAABCDA;0;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1;120;80;120;160;120;600;D;E;C;C;10;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
210060403527;2023;3;M;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;438;441;463.6;450;CEAABDDABBBBEEBDBEBDCCCBCAADCAEDEBDDEEDAABCBA;CDDACDCBADACDADDBBDCDACEBABDCCADDDBCACCEACBEC;BBBABBACEBADCDCAACDEACABDBACCDDAAEBCCEAAEBCAD;BADAAECACBDADBBCCAECDEDDBCABBCCCBDAEDECAADACC;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;100;60;60;100;20;340;E;F;F;F;4;E;A;B;C;B;A;B;A;B;B;B;A;A;B;A;A;D;A;B;B
210059959625;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;C;A;A;5;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210059416330;2023;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;398.1;453.7;519.4;415.8;AECECEBCBDACBCCEBCACBDECDDAACCEDEBCBEACBADCBE;CEBDAEDCAACDEADECAABAAECDBADDEADDCEABDEDEBDEB;CCEBADCEEEDACBBDCDECCCBBDAADEABDDBAECAAEBECAB;CCADEABEADCBDEBACDECCADBADCBBCBCBDECDAABADBEE;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;140;200;160;160;160;820;C;C;D;D;5;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
210060064832;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;549.6;571.5;578.8;484.3;EDCEECDACBCDBCCBBEEBCAADCADAAEBEEBEDCBAEADCBB;CDAEECCDAACEDAAECEDAABCCCEBCBCDEBEAADDADDDADA;BAAABDECAEDCAEBADCDCDCCEEDCCACBCABAADADBBEAAE;BDABABDABDBCDBEEBCEDDEBECDCCDAEBCCBDDECCCEBEE;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;160;120;120;160;140;700;B;C;B;B;5;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210060226979;2023;3;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;D;A;B;4;B;A;C;E;B;A;B;A;C;A;A;A;A;B;B;A;E;A;A;B
210059085381;2023;3;F;1;0;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;481.5;491.5;545.3;553.3;CEADDABECDEBDBECAAAEBDDDBCEEDBBDBEEECECDBACED;ABCDBBDDCDBECEBCAECAEAECCEDBADABCEEDBEBCBBDEE;EDAACCAEDBBDAACACBCBADBBACCBEDCDDBCDBAEDDAABC;ECDBECCADDDEDDBEBCCBADABCDECCCACEACCAAEDAECCE;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;120;100;100;20;460;E;E;B;B;6;B;A;B;D;A;B;B;A;B;A;A;A;A;C;B;A;D;A;B;B
210060373407;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;C;B;B;5;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
210059656804;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;433.4;505.7;527.5;418.2;EBDCDADECBAEECDACBBDCEBCABAECEDEAABDEBADAAEAB;ACDDCACADCBAADEABDDDABEEDBCACADCADDCECACBDDBE;ACABBCBABACDABBAEADBCDDCCBCADBEEAECCBEDEABEED;AECADCCBAECDBCDBADEAAACECEEDDBAECCBDBECAEDADD;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;120;160;120;160;100;660;H;E;F;B;5;A;C;B;E;A;A;B;A;A;A;A;A;A;A;A;A;D;A;A;B
210060452601;2023;2;F;1;3;2;2;0;2;1;0;1301902;Itacoatiara;13;AM;1;2;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;459.4;527.5;532.8;451.1;CBDCDABEDBBBCDDADCCECBEEBDAEDBDBDECCEAEBBDBAC;ABDACADBCDBEBECCADBADADEADBCBCDAAECDBEDCDAABE;DEBBBCAEABBDAEDABADBDCBADCCBEDBACDDABADDDACCC;CEDBEACADBACBABCAEBCDBCABDEBADCADCEECDBBCDBCA;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;140;120;120;160;40;580;B;E;F;A;4;B;A;B;C;A;C;B;A;A;A;A;A;A;B;A;B;D;A;B;B
210058451269;2023;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;391.8;442.8;441.9;363.8;EEEECDADABCBECBDBCADBBABDBEACAADEBCEDBCBCEDDA;CAEAABDEACBEACDBEADBABADAEBECBEBCDAECAACDBDDD;ABDACCBBEBDBCDDAECADBAEECBACBBBBACACEBCDCCEAD;ABCBEDCBBAECDEABADECABDBCEEAECBDCAECDDBAEEACB;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;40;40;100;40;340;C;C;A;A;5;A;A;C;D;A;A;A;B;A;A;A;A;A;B;B;A;D;A;A;A
210058432333;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;377.8;374.4;387;353.9;ABDCBDBBACBDBAACBEDDCBEDCDBEDEBEEADDCBCAEBCDE;BCBEDACBDCACBECAACEECBDBEABEBCBACDCACDDEACDAC;BDACAECAACDDAEBCBCEBAECABECABDAEBABCECCACBBAC;CDDBDACBADBEBEACCBDADABDBECBDABDBDACECBECEDCB;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;100;120;40;500;B;F;D;D;3;C;A;B;D;A;B;B;A;B;A;A;A;A;B;A;A;C;A;B;B
210058460767;2023;4;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;426.2;343.2;310.5;361.9;CBAEDBBAACBDBDADEACACBCAABAEECBBABBEAEAAABEAA;CDBDABDEDDEDBDCACDEDDCEABEDCADDBDBBCBEAAEDBBD;CDABEADECACCCECABCACDDBBCDACDDCDCBADDBCDBEDAA;ABCBDAECBAECACAECEAAEEBECACDDBBBDBCECBBDACADD;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;100;120;120;120;120;580;D;E;A;B;5;B;A;B;C;A;A;B;A;B;A;A;A;A;A;A;A;B;A;A;A
210059989931;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;514.2;530.7;529;553.8;DBDECAEBCDCBEBEBDBDEBECCABDCBBEABBEDDCDAACCEA;CEEBCADADCDDAEADBCCAECEBDBCBCBDEABAADACDBADEE;DCABCBABDADDBAAECADBABCEECBBEAECAECBEEBACCAED;CDBDECEABDBBCDDADEACABDBCEDDDAADBCCDBEEEEACCD;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;160;140;140;180;140;760;E;E;B;B;3;I;A;C;C;A;B;B;A;B;A;B;A;A;C;A;A;E;A;B;B
210060658589;2023;2;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;399;372.5;405.7;431;EBCECBEDAECACABBDECEBCDCEADCDCEDEBDBBCADEBCAB;ADECBCBCCBEDEDDCBABCEBEACEBBDEEDDBEBAEDDEBABA;ECAEDBDABCDECEDCEADDBDEDBADCDECDBBDAEBADCABAE;DBABCDBCBCDACDCACABDCBEBCABCDCABCADCDBCEDEACE;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;100;100;40;480;D;H;B;B;3;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A
210059555260;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;459.9;460.3;505.2;453.2;DBEAEACECDBAEEEEAEAAEBDDAEAECABEBDECBCADBACEB;ACBDBEDAABCEAABBBBACCBEADACABCCBCEACBBDE.CBDE;BCACEAAEACBEACEADAADABDAACAADBCBCDACBAEDBACCA;EDDACBBDAEDBADBCEACDBDABDCEBDAACCBDACEBDCAECD;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;140;120;120;100;0;480;F;H;C;F;4;A;A;B;C;A;B;B;B;A;A;A;A;A;B;A;A;C;A;A;A
210060088969;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;497.4;388;504.4;487.2;CBDBBABBEDCBAEACCAAEBCCCEEADCBCEEDBCCADDBACDC;ACEBAADCCDBCBEDCECDCBCBEDACCCBADADBBBCBDEADBA;BABBECABCCBEAAEBBBBEECBECCAEEDDCCCBABBEDDCDBA;EEDBCACAAEDBCCBDBCCCDCBBCCCBECBBDBDACDBBECBDB;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;100;100;80;60;460;E;D;C;B;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
210060188484;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;E;B;B;7;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;B;E;A;A;B
210060392401;2023;4;F;1;4;4;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;430;321;371.3;333.6;CE.BCBCAABADDAEDCBBEEADCADBBBAEADCBAECADAEADA;ACEECABDAAEDCABACEBBACEADCBCAEDBEACABDEEAACEA;ADBBBCABCCBBADECCEBDACBEDACECABBAEDCEBDACEBDA;CAEBDDEDCECADCBECDBDEDDCABCAEABEBACDEBACDEADA;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;100;120;100;120;20;460;D;D;C;D;5;D;A;B;D;A;B;B;B;B;A;B;A;A;B;A;B;D;A;B;B
210059555362;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;H;D;C;B;6;B;A;B;C;A;B;B;B;B;A;A;A;A;B;A;A;C;A;A;B
210059857511;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;1;1;0;;1191;1201;;;560.6;450.1;;;CDAEACEDDAEEAADECADDAECDDCEADCABEABCBCDDDAEDB;DDADABBBCBBDAAEBECCDDCAEBBADDBBBCBACAACBEECAC;;0;;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;;1;100;40;40;100;40;320;C;E;A;A;6;A;A;B;D;A;A;B;A;A;A;A;A;A;A;A;A;D;A;A;A
210060381589;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;B;B;3;B;D;B;C;A;B;B;B;B;A;A;A;A;B;A;B;C;A;A;B
210058328105;2023;2;M;1;2;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;1;1;0;;1194;1203;;;391.3;496.6;;;ABEDBBCEBAEEEAAADEBDDEECAEBEEDDDAACEBBAECDBBD;DBCDAAAEBBEEACEDBABCACDAABEAEDADDBCDBEEDACABB;;0;;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;;1;120;120;100;120;0;460;H;E;D;D;5;C;A;B;C;A;B;B;B;A;A;A;A;A;B;B;A;D;A;A;B
210058609210;2023;3;M;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;0;0;1;1222;;;1212;612.5;;;506.9;EACAECDEEACBEEACBCEBECEACEDAEDBDDBECBBDBEBAAB;;;BBABEBCCCECBCEBDEAADEBECBEDEAABADCEDDEAEBDDEA;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;;;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;;;;;;;;F;F;D;D;4;E;A;C;D;A;B;B;A;B;A;A;A;A;B;A;A;D;A;B;B
210059940185;2023;2;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;548.3;537.6;518.2;483.6;CBDEDEEBCCBDEEECDCBAAADCAECDBCDEEBECADDDAAEAB;ACEDCBAEDADCBDAEBEDADCDCABABDABCACCAEEAD.CDBD;CEEBCCBADECDADACDAEBBDACEBAACBDCABBBBCEBECEBD;CCDADCBDBDCDBCEADEDAABDBCDEEECDBDACCBDECDDCBD;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;160;180;160;160;160;820;E;B;D;B;4;C;A;C;C;A;C;B;A;A;B;A;A;A;B;B;A;D;A;B;B
210060414941;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;F;D;D;5;B;A;B;C;B;B;B;A;B;A;B;A;A;B;A;A;C;A;B;B
210061445404;2023;3;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;501.2;564.9;590.5;427.5;EBDADCEEDDBEBEADAACCCBCCEBAECDBADBBBDACEBDEBD;ABBDBBDDCDAEAEACBABADBEEBDAEAAABCEADBADCEAADD;BAACEAAEACBEAACAEADCAEBAACCADDCDDDCDBAEDDABCA;EBDBDAADBCDBCABDBBCCBBADBCEAABCCACDBEBBCDBCBC;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;160;200;180;200;140;880;C;C;B;B;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210059592385;2023;4;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;517.9;532.7;529.3;527.3;CBAABAADECDBAEEECABABDCAABEBDCDEDEBCAAADBEDBD;AECDAADAEDDECCBDADCADDEAAEDCACDBCDCDBBBDAAACE;CBCDEEAAEBBEACCABAADAEBBECCCEDADCACEDAEDDEDEA;EDDEBDEAADDEEBCDBBBCDDCACAECBEDBABBCBBBCEACDC;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;160;120;120;80;600;E;G;D;D;2;E;A;C;C;B;B;B;B;A;A;A;A;A;B;A;A;B;A;B;A
210058507233;2023;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;E;B;B;5;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;A
210061267875;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;451.8;414.9;488.3;665.6;DDEACADEDDEBDDBEEBAACADBECDCDAEAEECCBEDDCAEBC;EBEDBAEDCADDEDEABAADDCDAEACEABBCBEDAABCDBECCA;ADCBEDECDACDABAEDABDBEBCDBCCCBBEAECBEEABBDDAD;ACBCCEEBADCBEEDBACDCABADAADCDEADDDACBBCCEEBCC;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;160;200;180;200;200;940;A;C;C;C;7;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
